station,state,latitude,longitude,elevation,avg_temp,total_prcp
ERIE INTL AP,PA,42.08,-80.1825,222.5,53.999160305343516,35.2362395
ESTHERVILLE MUNI AP,IA,43.4075,-94.7461,401.4,50.135,20.76772775
EUGENE MAHLON SWEET AP,OR,44.1278,-123.2206,107.6,54.64152671755725,25.74017138
EUREKA AIRPORT,NV,39.6014,-116.0056,1809.3,51.94620689655172,8.35827223
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,52.65310344827586,37.64175261
EVANSTON BURNS FLD,WY,41.2731,-111.0306,2183.3,47.39865384615384,5.38189267
EVANSVILLE REGIONAL AP,IN,38.0442,-87.5206,121.9,62.47977099236641,34.08269557
EVERETT SNOHOMISH AP,WA,47.9078,-122.2803,184.7,53.17492307692307,19.11812056
EVERGREEN MIDDLETON FLD,AL,31.4156,-87.0442,78.6,69.73630769230769,52.507902370000004
EWA KALAELOA AP,HI,21.3167,-158.0667,16.5,78.31505882352941,9.45669802
East Boulder Mine,MT,45.5,-110.08,1930.9,45.50204545454546,21.7322952
East Rim Divide,WY,43.13,-110.2,2417.1,41.999545454545455,19.95276668
East Willow Creek,UT,39.31,-109.53,2530.1,45.208181818181814,14.173236000000001
Ebbetts Pass,CA,38.55,-119.8,2671.6,43.282045454545454,80.09453144
Echo Lake,CO,39.66,-105.59,3230.9,39.57568181818181,23.232296010000002
Echo Peak,CA,38.85,-120.08,2337.8,46.102045454545454,84.8819356
Eilertson Meadows,OR,44.87,-118.11,1679.4,42.09090909090909,28.2677318
El Diente Peak,CO,37.79,-108.02,3048.0,40.68295454545454,25.862218690000002
Elbow Lake,WA,48.69,-121.91,926.6,46.30045454545454,92.31894749
Elk Butte,ID,46.84,-116.12,1734.3,43.91409090909091,42.35829059
Elk Cabin,NM,35.7,-105.81,2502.4,48.64011363636364,16.94095403
Elk Peak,MT,46.48,-110.71,2316.5,41.70431818181818,20.736231670000002
Elk River,CO,40.85,-106.97,2651.8,43.791363636363634,20.66142848
Elkhart Park G.S.,WY,43.01,-109.76,2865.1,41.20181818181818,22.84253202
Emery Creek,MT,48.43,-113.94,1325.9,43.89772727272727,30.25592185
Emigrant Springs,OR,45.56,-118.45,1158.2,49.608636363636364,25.14961988
Emigrant Summit,ID,42.36,-111.56,2252.5,43.19954545454546,35.26379857
Evening Star,WY,44.65,-109.78,2804.2,39.131136363636365,39.940966450000005
Exit Glacier,AK,60.19,-149.62,121.9,37.43954545454545,58.17719677
FAIRBANKS INTL AP,AK,64.8039,-147.8761,131.7,34.335534351145036,9.07874506
